"","author","count"
"763","Hajos, Mary",1
"764","Halbach, Karolina",1
"765","Halbe-Bauer, Ulrike",1
"766","Halbritter, Kurt",1
"767","Halicka, Beata",1
"768","Hamann, Anna",1
"769","Hamann, Christof",1
"770","Hambrecht, Martina",2
"771","Hamerling, Robert",1
"772","Hammer, Agnes",1
"773","Hammer, Joachim Gunter",1
"774","Hammerschmitt, Marcus",1
"775","Hampe, Johann Christoph",1
"776","Hamsun, Knut",1
"777","Handl, Haimo L.",1
"778","Händler, Ernst-Wilhelm",1
"779","Hanika, Iris",9
"780","Hanika, Tanja",1
"781","Hankó, László",1
"782","Hänny, Reto",1
"783","Hansen, Dagmar",1
"784","Hansen, Georg",1
"785","Hansen, Konrad",1
"786","Hansen, Ule",2
"787","Hanstein, Otfrid von",1
"788","Harbou, Thea von",2
"789","Hardebusch, Christoph",4
"790","Harder, Swen",1
"791","Harig, Ludwig",3
"792","Harksen, Verena Charlotte",1
"793","Harrach, Verena von",1
"794","Harriet, Elisabeth-Joe",1
"795","Hartinger, Ingram",1
"796","Hartlaub, Felix",1
"797","Hartmann, Heiko Michael",1
"798","Hartung, Harald",1
"799","Hartung, Hugo",2
"800","Hasenclever, Walter",3
"801","Haslehner-Götz, Elfriede",1
"802","Hasler, Eveline",10
"803","Hassler, Silke",1
"804","Hastings, Susan",1
"805","Hauer, Gerhard",1
"806","Haupt, Werner",1
"807","Hauptmann, Carl",2
"808","Hauptstock, Georg",1
"809","Hauschild, Reinhard",1
"810","Hauser, Heinrich",1
"811","Haushofer, Albrecht",2
"812","Hausmann, Manfred",1
"813","Hausmann, Raoul",2
"814","Hausmann, Romy",7
"815","Hefner, Ulrich",1
"816","Hegemann, Helene",1
"817","Hegewisch, Helga",2
"818","Heib, Marina",2
"819","Heidenreich, Gert",1
"820","Heilander, Elisabeth",1
"821","Heilmann, Eva",1
"822","Heim, Peter",3
"823","Heimann, Bodo",1
"824","Heimburg, Wilhelmine",1
"825","Hein, Christa",2
"826","Hein, Mirja",1
"827","Heine, Ernst W.",12
"828","Heinemann, Ilka",2
"829","Heinrich, Franz Josef",1
"830","Heinrich, Jutta",1
"831","Heinrich, Sabine",1
"832","Heinrich, Walter",1
"833","Heinrich, Willi",3
"834","Heinse, Wilhelm",1
"835","Heinzmann, Josef",1
"836","Heischkamp, Anna",1
"837","Heiseler, Henry von",1
"838","Heitmann, Tanja",3
"839","Helfer, Monika",1
"840","Helfrich, Horst",1
"841","Helle, Heinz",3
"842","Hellinger, Bert",5
"843","Hellmann, Alfred",1
"844","Hellmann, Diana Beate",2
"845","Helminger, Guy",2
"846","Hemmann, Tino",1
"847","Hempfling, Klaus Ferdinand",2
"848","Henderson, Jo",1
"849","Hennen, Bernhard",4
"850","Hennig von Lange, Alexa",1
"851","Hennig, Falko",1
"852","Henning, Peter",1
"853","Hens, Gregor",3
"854","Henscheid, Regina",1
"855","Henschel, Gerhard",1
"856","Hensel, Jana",1
"857","Hensel, Kerstin",1
"858","Hensel, Klaus",1
"859","Herbeck, Ernst",1
"860","Herbing, Alina",1
"861","Herbote, Burkhard",1
"862","Herburger, Günter",1
"863","Herder, Maria",1
"864","Herlin, Hans",4
"865","Herman, Nicolas",1
"866","Hermann, Georg",1
"867","Hermann, Wolfgang",2
"868","Hermlin, Stephan",3
"869","Herold, Tina",2
"870","Herrmann, Elisabeth",6
"871","Herrmann, Gunnar",1
"872","Herrmann, Markus",1
"873","Herrschel, Michael",1
"874","Herzberg, André",1
"875","Herzberg, Julianna",1
"876","Hesse, Andreas D.",1
"877","Hessel, Franz",6
"878","Hetmann, Frederik",4
"879","Hildebrand, Jens",1
"880","Hildebrandt, Dieter",1
"881","Hill, Roxann",1
"882","Hillebrand, Bruno",1
"883","Hilliges, Ilona Maria",2
"884","Hilling, Anja",2
"885","Hinrichsen, Peter",1
"886","Hirschfeld, Georg",1
"887","Hirschl, Elias",1
"888","Hitzbleck, Klaus-Bodo",1
"889","Hlawaty, Graziella",1
"890","Hochhuth, Rolf",7
"891","Hochwälder, Fritz",3
"892","Hocke, Gustav René",1
"893","Hodjak, Franz",2
"894","Hofé, Günter",1
"895","Höfele, Andreas",1
"896","Hofer, Bernhard",1
"897","Hoffbauer, Jochen",1
"898","Hoffer, Klaus",2
"899","Hoffmann von Fallersleben, August Heinrich",1
"900","Hoffmann, Horst",1
