"","Var1","Freq"
"608","First memorable conversation with the chimaera",1
"609","Fischwinternd",1
"610","Fish tales  coyote stories",1
"611","Fliegengewicht",1
"612","Flöhe hüten ist leichter",1
"613","Florentinische Nächte",1
"614","Flug über die Grenze",2
"615","Fontane",1
"616","For bad days",1
"617","Fortunatus",1
"618","Frabato",2
"619","Fragmente",1
"620","Franz Josef Degenhardt Zündschnüre",1
"621","Franz Kafka Der Heizer",1
"622","Franz Kafka Der Prozess",3
"623","Franz Kafka Der Verschollene",1
"624","Franz Kafka Die Verwandlung",3
"625","Franz Werfel Der Tod des Kleinbürgers",1
"626","Franz Werfel Eine blassblaue Frauenschrift",1
"627","Franziska Linkerhand",1
"628","Frau Jenny Treibel",1
"629","Frauen für Anfänger",1
"630","Frauendienst",1
"631","Fremdn",1
"632","Frieden",1
"633","Friederike Mayröcker Reise durch die Nacht",1
"634","Friederike Mayröcker Scardanelli",1
"635","Friedrich Christian Delius Mogadischu Fensterplatz",1
"636","Friedrich Dürrenmatt Der Besuch der alten Dame",1
"637","Friedrich Dürrenmatt Der Meteor",1
"638","Friedrich Dürrenmatt Dramen",1
"639","Friedrich Nietzsche DionysosDithyramben",1
"640","Friedrich Schiller Kabale und Liebe",1
"641","Friedrich Torberg Die Tante Jolesch",1
"642","Friedrichsburg",1
"643","Fritz Oswald Bilse Aus einer kleinen Garnison",1
"644","Frühere Verhältnisse",1
"645","Frühlings Erwachen",1
"646","Für eine tolle Mutternd",1
"647","Für eine tolle Omand",1
"648","Für eine tolle Schwesternd",1
"649","Für freche Frauen",1
"650","Für immer Vampir",1
"651","GameWØrldz",1
"652","Gedächtnisschleifen",1
"653","Gedicht an die Dauer",1
"654","Gedichte",1
"655","Gedichtgedichte",1
"656","Gefährliche Verwandtschaft",1
"657","Gefühltes Wissen",1
"658","Gegen den Uhrzeigersinn",1
"659","Geh fort wenn du kannst",1
"660","Geleise ins Morgen",1
"661","Geliebter Schwarzer Kater",1
"662","Geliebtes Leben  Gelebtes Leben",1
"663","Geometrischer Heimatroman",1
"664","Georg",1
"665","Georg Büchner Dantons Tod",1
"666","Georg Büchner Der hessische Landbote",1
"667","Georg Büchner Lenz",1
"668","Georg Heym Der Dieb",1
"669","Gerhard Meier Ob die Granatbäume blühen",1
"670","Gerhart Hauptmann Der Ketzer von Soana",1
"671","Germania",1
"672","Gertrud",2
"673","Geschichte der Abderiten",1
"674","Geschichten",1
"675","Geschichten aus sieben Ghettos",1
"676","Geschichten vom lieben Gott",2
"677","Geschichten von Menorca über Menschen und Meer",1
"678","Gier",1
"679","Glückliche Niederlagen",1
"680","Goethe",1
"681","Gog und Magog",2
"682","Goldfischgedächtnis",1
"683","Goldstein",1
"684","Gosias Kinder  auf welcher Seite stehst Du",1
"685","Gottes Homepage",1
"686","Gottfried Benn Morgue",1
"687","Gotthold Ephraim Lessing Emilia Galotti",2
"688","Gregor Rezzori von Der Tod meines Bruders Abel",1
"689","Greif und Kreuz",1
"690","Grieche sucht Griechinrk",1
"691","Grip",1
"692","Grosstante Hortense Bowlen Punsche  Amourennd",1
"693","Großvater und die Kanone",1
"694","Guantánamo",1
"695","Gustav Meyrink Das grüne Gesicht",1
"696","Gustav Meyrink Der weiße Dominikaner",1
"697","Gut gegen Nordwind",1
"698","Gut genug",1
"699","Gute Nacht guten Morgen",1
"700","Halbmond über der Narenta",1
"701","Hallo Mama ",1
"702","Handy",1
"703","Hanna Gottes kleinster Engelnd",1
"704","Hans Herlin Grishin oder das Lächeln Lenins",1
"705","Hans Joachim Schädlich Gib ihm Sprache",1
"706","Hans Rath Manchmal ist der Teufel auch nur ein Mensch 2014",2
"707","Hans Wollschläger Herzgewächse",1
"708","Happy birthday Türke",1
"709","Happy birthday Türkerk",1
"710","Happy end",1
"711","Haschisch",1
"712","Hausteins Marja",1
"713","Heike Geißler Saisonarbeit",1
"714","Heiligenanstalt",1
"715","Heimat",1
"716","Heimdall",1
"717","Heinrich Böll Die verlorene Ehre der Katharina Blum",1
"718","Heinrich Böll Gruppenbild mit Dame",1
"719","Heinrich Heine Atta Troll",1
"720","Helden wie wir",1
"721","Helm",1
"722","Hermann Hesse Die Morgenlandfahrt",1
"723","Hermann Hesse Siddhartha",1
"724","Hermann Josef der Mönch von Steinfeld",1
"725","Hermann und Dorothea",1
"726","Herr und Hund",1
"727","Herta Müller Die blassen Herren mit den Mokkatassen",1
"728","Herta Müller Im Haarknoten wohnt eine Dame",1
"729","Herzbrüche",1
"730","Herzenhören",1
"731","Herzenstimmen",1
"732","Herzlichen Glückwunsch zum Enkelkind",1
"733","Hesperische Gesänge",1
"734","Heuchler",1
"735","Hibiskus im Schnee",1
"736","Hildebrandslied",1
"737","Hildegard von Bingen",1
"738","Historia von D Johann Fausten dem weitbeschreyten Zauberer vnnd Schwartzkünstlernd",1
"739","Hoffmann",1
"740","Homo faber",1
"741","Hundejahre Iwrith",1
"742","Hundsnächte",1
"743","Hunkeler und der Fall Livius",1
"744","Hüter von Utopia",1
"745","Hymnen an die Kirche",1
"746","Hyperion oder der Eremit in Griechenland",2
"747","Ibicaba",1
"748","Ich",1
"749","Ich fliege mit zerrissenen Flügeln",1
"750","Ich kehre zurück Dadabé",1
"751","Ich Lucrezia",1
"752","Ich nehm dich mit in meinen Tag",1
"753","Ich schlage vor dass wir uns küssen",1
"754","Ich sitze nur grausam da",1
